,Amount
,36080.81
PETROCAN-13203 82ND ST NWEDMONTON AB,-145.92
CLEANERS WAREHOUSE ,-2036.93
GOOGLE GSUITE OPTIMAX,-90.25
PRO DETAIL SUPPLY ,-681.45
,
OVERLIMIT FEE,-116
AUTOMATIC PAYMENT - THANK YOU,47
PURCHASE INTEREST 19.99%,-715.93
CARPET SUPERSTORE ,-11.03
BOSTON PIZZA ,-172.97
GLENORA LUMBER ,-145.83
NORTH CENTRAL CO-OP ,-1018.09
THE HOME DEPOT ,-1444.51
DULUX PAINTS ,-1451.19
LOWES,-1625.96
SHELL,-100
CLEANERS WAREHOUSE,-1094.97
QUICKBOOKS ONLINE AB,-183.75
GOOGLE *GUITE OPTIMAX,-14.04
STAPLES STORE ,-5.25
7 ELEVEN STORE 37831 ,-80
LOWES #03158* ,-620.31
FANCY WINDOWS MFG INC. ,-27905.74
AMAZON.CA*OE5CV5W73 AMAZON.CA,-135.14
PETROCAN-143 ST ALBERT RDST ALBERT AB,-84.91
SHELL 320 4 VERSAILLES AVST. ALBERT AB,-274.49
CDN TIRE GASBAR ST ALBERT AB,-75
GOOGLE*GSUITE OPTIMAXG CC GOOGLE.COMCA,-14.04
PETROCAN-12707 127 STREETEDMONTON AB,-50
HUSKY 51 AVENUE 5145 ,-65
CONSOLIDATED GUPSUM SUPPLEDMONTON AB,-666.8
LYMBURN FOODMART ,-82.42
PETROCAN-16441-97TH ST.NWEDMONTON AB,-62.02
22579 MAC'S CONVENIE ,-60
7 ELEVEN STORE ST. ALBERT AB,-184.39
FAS GAS BARRHEAD SERVICE BARRHEAD AB,-17.83
VISTAPR*VISTAPRINT.CA,-143.56
GODADDY.COM CANADA,-11.54
WINDSOR PLYWOOD ,-236.2
*VORTEK CONSTRUCTION L780-4586799 AB,-4905.86
RONA ST. ALBERT AB,-39.44
FANCY DOORS & MOULDINGS ,-236.52
LONDONDERRY CTRE ,-288
WCB ALBERTA ,-490.38
BELL MOBILITY VERDUN,-264.87
PETROCAN-13708 164 ST NW ,-91.12
WINDSOR PLYWOOD LTD ,-561.19
RONA STONY PLAIN ,-21.25
TIM HORTONS ,-42.82
RH SERVICES INC ,-1575
NELSON LUMBER COMPANY ,0
CLOVERDALE PAINT ,-27.29
ALBERTA DRYWALL & STUCCO ,-1500.03
7-ELEVEN M2804 ,-80
7 ELEVEN STORE 37814 ,-80
WINDSOR PLYWOOD EASTSIDE ,-33.58
SELECT EQUIPMENT RENTA ST. ALBERT AB,-15.75
LOWES #03716* ,-159.29
PETROCAN-13205 97 STREET ,-85
EDMONTON WASTE MGMT CTR ,-52
HUGHES PETROLEUM LTD ,-88.63
